symbol,marcap,3month_performance,avgvol_10,avgvol_30,avgvol_60,avgvol_90
"ACHCDACADIA HEALTHCARE COMPANY, INC.",65.45,5.873B,15.25%,329.3K,397.22K,464.678K,540.495K
"LLESLDLESLIE'S, INC.",31.25,5.872B,42.30%,1.444M,1.628M,1.456M,1.639M
IIMABDI-MAB DR,74.55,5.871B,49.01%,1.083M,735.528K,561.011K,504.195K
"FSLYDFASTLY, INC.",50.7,5.866B,−18.29%,3.564M,5.597M,4.384M,4.782M
ADSDALLIANCE DATA SYSTEMS CORPORATION,117.52,5.844B,11.60%,879.635K,850.37K,835.546K,904.905K
ARDDARDAGH GROUP S.A.,24.7,5.838B,−4.93%,113.171K,95.562K,102.202K,116.209K
NVTADINVITAE CORPORATION,29.21,5.837B,−15.97%,2.943M,3.847M,3.88M,4.192M
"WWOOFDPETCO HEALTH AND WELLNESS COMPANY, INC.",22.03,5.822B,6.32%,4.781M,2.681M,2.439M,2.338M
VLYDVALLEY NATIONAL BANCORP,14.34,5.82B,6.78%,1.554M,1.925M,2.531M,2.539M
CCDDCHINDATA GROUP HOLDINGS LIMITED DR,16.15,5.816B,−4.83%,2.181M,1.982M,1.506M,1.297M
ESIDELEMENT SOLUTIONS INC.,23.49,5.813B,24.42%,1.188M,1.635M,1.586M,1.726M
EVRDEVERCORE INC.,141.93,5.812B,9.08%,389.741K,436.374K,475.831K,512.934K
MDMACY'S INC,18.64,5.81B,12.97%,13.729M,16.289M,16.878M,17.703M
"JCOMDJ2 GLOBAL, INC.",128.18,5.786B,12.20%,524.009K,590.081K,625.144K,591.01K
"TRIPDTRIPADVISOR, INC.",42.25,5.784B,−11.28%,2.618M,3.028M,3.603M,3.845M
46.4468.118M6.201.737.905.86—65.964M1.467M35.04%1.97K5.892K3.585K2.878K,,,,,,,
C,,,,,,,
CIXXDCI FINANCIAL CORP.,,,,,,,
18.593.8B10.352.231.811.735.833.761B204.385M35.00%28.652K29.822K33.763K53.144K,,,,,,,
I,,,,,,,
"IGMSDIGM BIOSCIENCES, INC.",,,,,,,
96.603.094B——−3.01−2.65—2.238B32.026M34.99%150.998K168.003K200.983K188.356K,,,,,,,
UNVRDUNIVAR SOLUTIONS INC.,,,,,,,
27.654.689B74.990.580.370.318.906.205B169.587M34.94%925.395K1.073M1.061M1.023M,,,,,,,
M,,,,,,,
MTSLDMER TELEMANAGEMENT SOLUTIONS LTD.,,,,,,,
2.8613.54M———−0.30——4.734M34.91%176.647K193.846K1.959M1.351M,,,,,,,
E,,,,,,,
"EZPWDEZCORP, INC.",,,,,,,
7.12397.607M—0.56−0.35−1.242.60369.836M55.844M34.85%347.428K497.115K433.774K447.183K,,,,,,,
A,,,,,,,
AIHDAESTHETIC MEDICAL INTERNATIONAL HOLDINGS GROUP LTD. DR,,,,,,,
8.99210.703M—1.60−1.54−1.57—181.672M21.633M34.78%589.809K555.818K391.178K330.855K,,,,,,,
SNXDSYNNEX CORPORATION,,,,,,,
127.006.585B13.410.279.5910.217.144.856B51.852M34.76%195.959K245.512K333.459K312.35K,,,,,,,
ETDENERGY TRANSFER LP,,,,,,,
10.9129.495B8.680.661.25−0.248.5582.625B2.704B34.69%14.328M19.938M18.516M20.479M,,,,,,,
"FTNTDFORTINET, INC.",,,,,,,
223.5436.508B75.0813.543.022.9141.1728.794B163.318M34.49%803.033K1.039M1.082M1.197M,,,,,,,
M,,,,,,,
"MRKRDMARKER THERAPEUTICS, INC.",,,,,,,
3.16262.324M—365.35−0.62−0.61—74.179M83.014M34.47%1.695M1.983M4.396M3.119M,,,,,,,
S,,,,,,,
"SCHNDSCHNITZER STEEL INDUSTRIES, INC.",,,,,,,
55.971.537B28.430.842.06−0.158.071.301B27.465M34.38%330.612K382.821K371.689K340.193K,,,,,,,
A,,,,,,,
"APENDAPOLLO ENDOSURGERY, INC.",,,,,,,
7.74209.257M—4.51−0.72−0.99—173.614M21.196M34.38%134.601K126.604K138.159K670.599K,,,,,,,
TLNDDTALEND S.A. DR,,,,,,,
65.192.122B—6.98−2.66−2.54—2.056B32.572M34.33%307.843K445.665K559.098K603.634K,,,,,,,
TNXPDTONIX PHARMACEUTICALS HOLDING CORP.,,,,,,,
1.37452.842M——−0.48−0.55—208.085M330.541M34.31%11.096M9.593M13.496M23.981M,,,,,,,
ZLABDZAI LAB LIMITED DR,,,,,,,
171.2816.601B—284.93−3.19−3.47—10.796B94.685M34.27%516.93K501.295K541.317K494.673K,,,,,,,
A,,,,,,,
ADVDADVANTAGE SOLUTIONS INC.,,,,,,,
12.383.942B—2.43−0.53−0.7912.125.71B318.45M34.27%470.004K382.239K452.352K503.91K,,,,,,,
LOMADLOMA NEGRA COMPANIA INDUSTRIAL ARGENTINA SOCIEDAD ANONIMA DR,,,,,,,
7.171.483B5.351.461.311.354.34770.473M119.205M34.27%239.314K191.311K213.737K284.318K,,,,,,,
P,,,,,,,
PPTADPERPETUA RESOURCES CORP.,,,,,,,
8.19425.198M——−7.18−6.79—284.411M51.917M34.26%101.978K80.839K104.112K95.582K,,,,,,,
TXTDTEXTRON INC.,,,,,,,
69.9715.793B36.821.341.881.3513.9315.424B225.709M34.25%1.285M1.276M1.205M1.156M,,,,,,,
ERFDENERPLUS CORPORATION,,,,,,,
7.021.802B—2.77−3.26−3.265.401.9B256.751M34.23%1.788M1.771M1.77M2.132M,,,,,,,
B,,,,,,,
"BWDBABCOCK & WILCOX ENTERPRISES, INC.",,,,,,,
9.07777.548M64.371.080.15−0.2516.96891.366M85.727M34.17%797.348K848.587K1.055M1.349M,,,,,,,
R,,,,,,,
"RDNTDRADNET, INC.",,,,,,,
29.601.56B131.851.280.21−0.299.452.435B52.7M34.12%224.294K197.585K191.157K199.678K,,,,,,,
H,,,,,,,
HBBDHAMILTON BEACH BRANDS HOLDING COMPANY,,,,,,,
23.58327.338M12.020.532.023.378.13352.506M13.882M34.05%31.989K32.431K45.399K42.485K,,,,,,,
"BENDFRANKLIN RESOURCES, INC.",,,,,,,
35.4517.878B16.642.612.151.597.8917.917B504.323M33.87%2.521M3.031M3.116M3.336M,,,,,,,
M,,,,,,,
"MYFWDFIRST WESTERN FINANCIAL, INC.",,,,,,,
28.86230.731M7.892.113.693.08—435.906M7.995M33.86%20.32K21.545K28.74K24.075K,,,,,,,
R,,,,,,,
"RADIDRADIUS GLOBAL INFRASTRUCTURE, INC.",,,,,,,
14.86909.651M—11.72−2.30−2.42—1.679B75.813M33.75%454.865K323.52K364.005K320.091K,,,,,,,
N,,,,,,,
"NVFYDNOVA LIFESTYLE, INC",,,,,,,
3.1417.482M—1.37−4.56−4.49—12.895M5.568M33.62%53.32K54.217K103.589K564.254K,,,,,,,
R,,,,,,,
"RMBLDRUMBLEON, INC.",,,,,,,
41.55140.982M—0.25−3.25−11.44—170.167M3.393M33.60%31.886K47.07K88.824K85.277K,,,,,,,
"STLDDSTEEL DYNAMICS, INC.",,,,,,,
64.1913.558B17.321.303.772.597.8912.633B211.219M33.53%2.353M2.65M2.554M2.372M,,,,,,,
A,,,,,,,
"ALOTDASTRONOVA, INC.",,,,,,,
15.36110.755M88.260.980.180.1810.7793.072M7.213M33.52%12.181K18.446K29.929K26.804K,,,,,,,
L,,,,,,,
LSPDDLIGHTSPEED POS INC. SUBORDINATE VOTING SHARES,,,,,,,
72.219.48B—38.54−1.20−1.24—7.029B131.278M33.50%881.589K822.512K797.676K859.296K,,,,,,,
"BRKSDBROOKS AUTOMATION, INC.",,,,,,,
99.377.383B79.537.361.250.8820.575.843B74.297M33.42%593.1K797.115K798.939K743.15K,,,,,,,
G,,,,,,,
GBOXDGREENBOX POS,,,,,,,
14.67617.291M—34.28−0.37−0.17—453.655M41.906M33.24%559.033K633.344K1.127M934.045K,,,,,,,
P,,,,,,,
PRTCDPURETECH HEALTH PLC DR,,,,,,,
56.111.551B1223.18137.560.170.02——28.643M33.21%1.407K1.035K1.866K—,,,,,,,
A,,,,,,,
ATLCDATLANTICUS HOLDINGS CORPORATION,,,,,,,
38.55641.482M6.741.417.753.954.061.398B16.64M33.21%28.09K38.588K48.875K51.684K,,,,,,,
CSTMDCONSTELLIUM SE,,,,,,,
18.952.653B38.150.470.50−0.177.964.493B139.983M33.17%1.045M1.079M983.003K1.034M,,,,,,,
"IDCCDINTERDIGITAL, INC.",,,,,,,
84.172.59B51.587.121.631.449.781.531B30.772M33.16%363.262K246.098K391.259K330.501K,,,,,,,
"SPPIDSPECTRUM PHARMACEUTICALS, INC.",,,,,,,
4.22681.617M——−1.18−1.29—313.037M161.521M33.12%3.026M2.665M2.575M2.692M,,,,,,,
"NTNXDNUTANIX, INC.",,,,,,,
34.226.942B—5.22−4.25−4.48—5.539B202.86M33.05%2.467M2.261M2.098M1.985M,,,,,,,
C,,,,,,,
CRNCDCERENCE INC.,,,,,,,
113.464.291B580.4011.810.29−0.5728.213.666B37.821M33.03%482.002K421.51K442.584K551.198K,,,,,,,
A,,,,,,,
"ADILDADIAL PHARMACEUTICALS, INC",,,,,,,
2.8249.36M——−0.95−0.87—33.182M17.504M33.02%304.956K187.736K247.87K443.487K,,,,,,,
JHGDJANUS HENDERSON GROUP PLC,,,,,,,
40.016.896B12.722.713.100.876.014.5B172.35M32.97%826.825K1.049M989.188K1.312M,,,,,,,
B,,,,,,,
"BBCPDCONCRETE PUMPING HOLDINGS, INC.",,,,,,,
8.61486.202M—1.51−1.37−1.196.32689.086M56.469M32.87%203.944K171.155K188.366K192.093K,,,,,,,
M,,,,,,,
"MEGDMONTROSE ENVIRONMENTAL GROUP, INC.",,,,,,,
51.711.347B—3.16−3.04−4.2927.751.579B26.056M32.83%152.465K149.472K224.901K217.067K,,,,,,,
JBLDJABIL INC.,,,,,,,
57.988.627B24.060.312.460.354.968.908B148.798M32.80%753.697K762.845K923.479K909.142K,,,,,,,
T,,,,,,,
"TSQDTOWNSQUARE MEDIA, INC.",,,,,,,
13.89226.771M—0.94−1.46−4.428.29847.438M16.326M32.79%81.516K63.302K81.049K92.216K,,,,,,,
E,,,,,,,
EGLEDEAGLE BULK SHIPPING INC.,,,,,,,
47.13591.625M—1.78−2.23−3.409.52835.66M12.553M32.76%143.162K173.068K160.959K143.427K,,,,,,,
POOLDPOOL CORPORATION,,,,,,,
435.5517.479B41.134.1410.848.9731.1914.719B40.131M32.65%261.96K248.347K284.004K334.077K,,,,,,,
ADNTDADIENT PLC,,,,,,,
50.764.782B—0.39−1.52−5.8311.497.67B94.208M32.57%649.477K685.326K876.132K901.76K,,,,,,,
AADALCOA CORPORATION,,,,,,,
37.747.047B—0.74−0.40−0.915.768.297B186.725M32.56%5.505M6.49M6.618M6.786M,,,,,,,
M,,,,,,,
"MGYRDMAGYAR BANCORP, INC.",,,,,,,
13.7880.095M18.582.530.720.38—126.827M5.811M32.54%3.668K2.53K2.719K2.445K,,,,,,,
S,,,,,,,
"SWBIDSMITH & WESSON BRANDS, INC.",,,,,,,
22.121.178B12.591.171.74−1.125.35908.152M53.249M32.53%1.356M1.445M1.534M1.682M,,,,,,,
MTDARCELOR MITTAL NY REGISTRY SHARES NEW,,,,,,,
32.6734.139B15.040.722.22−0.655.4842.381B1.081B32.48%3.771M5.431M5.77M5.571M,,,,,,,
S,,,,,,,
"SICDSELECT INTERIOR CONCEPTS, INC.",,,,,,,
11.07282.711M—0.50−0.30−0.399.04344.138M25.539M32.42%86.062K126.846K109.834K109.828K,,,,,,,
CLFDCLEVELAND-CLIFFS INC.,,,,,,,
19.379.673B—1.28−0.10−0.3226.2218.175B499.402M32.40%16.542M23.583M21.653M21.859M,,,,,,,
A,,,,,,,
"ACCDDACCOLADE, INC.",,,,,,,
52.173.061B—16.59−1.16−1.72—2.021B58.671M32.39%565.877K746.013K843.957K858.911K,,,,,,,
H,,,,,,,
"HGSHDCHINA HGS REAL ESTATE, INC.",,,,,,,
2.3352.483M10.811.600.190.04223.38158.158M22.525M32.39%222.965K742.204K478.713K615.445K,,,,,,,
M,,,,,,,
MRLNDMARLIN BUSINESS SERVICES CORP.,,,,,,,
22.69272.49M14.212.321.590.030.6174.621M12.009M32.38%36.072K69.65K93.31K74.374K,,,,,,,
P,,,,,,,
PANLDPANGAEA LOGISTICS SOLUTIONS LTD.,,,,,,,
4.09186.615M7.590.450.550.267.30306.026M45.627M32.36%491.433K593.287K446.91K339.904K,,,,,,,
G,,,,,,,
GMABDGENMAB A/S DR,,,,,,,
41.3526.617B31.6516.291.311.1024.1318.865B654.177M32.36%367.918K390.821K455.607K527.931K,,,,,,,
"UPSDUNITED PARCEL SERVICE, INC.",,,,,,,
212.92185.354B35.092.066.051.5415.67167.64B870.532M32.36%2.692M3.896M3.572M3.537M,,,,,,,
S,,,,,,,
STXDSEAGATE TECHNOLOGY HOLDINGS PLC,,,,,,,
98.6522.578B24.762.314.053.798.5022.586B228.873M32.31%2.364M3.893M3.492M3.357M,,,,,,,
C,,,,,,,
CVMDCEL-SCI CORPORATION,,,,,,,
23.88976.849M—4411.00−0.90−0.82—604.795M40.907M32.23%713.509K710.158K976.458K1.02M,,,,,,,
"TTECDTTEC HOLDINGS, INC.",,,,,,,
111.045.199B35.142.543.162.5212.865.146B46.823M32.19%115.164K124.265K132.89K147.796K,,,,,,,
C,,,,,,,
"CCSDCENTURY COMMUNITIES, INC.",,,,,,,
78.352.642B9.260.748.436.137.732.685B33.722M32.17%466.928K530.861K499.306K512.751K,,,,,,,
E,,,,,,,
"EOSEDEOS ENERGY ENTERPRISES, INC.",,,,,,,
20.481.061B—2669.81−1.87−1.40—908.798M51.801M32.13%1.029M836.278K833.043K820.279K,,,,,,,
"EFXDEQUIFAX, INC.",,,,,,,
228.7227.836B48.166.564.904.2424.0325.968B121.703M32.10%722.777K736.009K722.136K798.714K,,,,,,,
H,,,,,,,
HWCCDHOUSTON WIRE & CABLE COMPANY,,,,,,,
5.2788.971M—0.33−0.77−0.7667.73119.56M16.883M32.08%33.153K64.656K244.876K177.718K,,,,,,,
S,,,,,,,
SMTSDSIERRA METALS INC.,,,,,,,
3.43560.462M19.842.210.180.156.46583.02M163.4M31.92%460.44K628.915K631.418K633.541K,,,,,,,
"FBDFACEBOOK, INC.",,,,,,,
336.58954.361B28.2610.0911.8410.0918.40796.5B2.835B31.83%14.453M19.037M19.23M19.195M,,,,,,,
E,,,,,,,
"ESTEDEARTHSTONE ENERGY, INC.",,,,,,,
9.83772.337M—2.52−1.15−0.459.60988.525M44.138M31.77%178.953K241.166K308.897K337.797K,,,,,,,
HSCDHARSCO CORPORATION,,,,,,,
22.751.801B—0.93−0.33−0.5710.812.78B79.166M31.73%317.799K397.4K397.432K413.238K,,,,,,,
L,,,,,,,
"LNTHDLANTHEUS HOLDINGS, INC.",,,,,,,
25.181.699B—4.88−0.17−0.2530.991.56B67.487M31.69%1.322M992.226K786.859K700.492K,,,,,,,
B,,,,,,,
BURDBURFORD CAPITAL LIMITED,,,,,,,
11.442.506B14.0011.590.850.838.62—219.05M31.65%59.999K142.705K177.033K166.09K,,,,,,,
PAMDPAMPA ENERGIA S.A. PAMPA ENERGIA S.A. DR,,,,,,,
17.481.665B—0.552.642.244.302.345B55.684M31.63%181.018K150.522K144.364K136.988K,,,,,,,
"ANETDARISTA NETWORKS, INC.",,,,,,,
352.5126.904B41.1111.338.907.9926.5721.078B76.322M31.62%375.646K417.264K426.741K489.983K,,,,,,,
"BOXDBOX, INC.",,,,,,,
24.834.041B—5.15−0.20−0.2833.093.523B162.762M31.58%2.502M2.54M3.424M3.404M,,,,,,,
R,,,,,,,
RIBTDRICEBRAN TECHNOLOGIES,,,,,,,
1.1753.179M—1.95−0.20−0.29—47.872M45.452M31.56%461.77K8.677M4.58M3.297M,,,,,,,
"AMATDAPPLIED MATERIALS, INC.",,,,,,,
138.97127.527B29.166.544.843.9211.83121.96B917.661M31.50%8.855M9.956M10.543M9.977M,,,,,,,
K,,,,,,,
KBSFDKBS FASHION GROUP LIMITED,,,,,,,
4.0514.266M———−0.04−14.50—4.233M31.49%545.861K427.104K415.253K394.736K,,,,,,,
"INGNDINOGEN, INC",,,,,,,
62.771.406B—4.60−0.23−0.27132.76950.727M22.395M31.48%196.256K158.471K154.417K159.344K,,,,,,,
WITDWIPRO LIMITED DR,,,,,,,
8.1940.459B31.455.350.260.2616.2731.751B5.689B31.46%1.48M1.545M1.639M1.784M,,,,,,,
F,,,,,,,
"FOURDSHIFT4 PAYMENTS, INC.",,,,,,,
97.758.013B—6.20−2.88−0.41158.804.79B52.274M31.46%537.353K936.415K981.63K938.541K,,,,,,,
T,,,,,,,
TGHDTEXTAINER GROUP HOLDINGS LIMITED,,,,,,,
33.611.684B12.032.562.731.3611.485.622B50.093M31.34%771.273K533.923K530.03K602.559K,,,,,,,
"TXGD10X GENOMICS, INC.",,,,,,,
185.2820.344B—58.87−5.03−5.37—19.114B109.799M31.32%817.579K961.344K821.895K791.52K,,,,,,,
DPZDDOMINO'S PIZZA INC,,,,,,,
437.9217.005B34.974.0012.5112.3923.7118.358B38.832M31.31%519.845K674.06K600.647K651.94K,,,,,,,
N,,,,,,,
NVMIDNOVA MEASURING INSTRUMENTS LTD.,,,,,,,
101.112.856B55.5310.291.911.6530.852.427B28.251M31.24%134.125K144.131K136.256K155.519K,,,,,,,
S,,,,,,,
"SFBCDSOUND FINANCIAL BANCORP, INC.",,,,,,,
43.06112.568M10.972.624.063.45—-142.402M2.614M31.24%1.413K1.483K5.815K4.33K,,,,,,,
C,,,,,,,
CODGLOBAL CORD BLOOD CORPORATION,,,,,,,
5.97725.66M10.524.340.570.56−4.38-443.979M121.551M31.21%226.679K286.17K234.553K287.548K,,,,,,,
A,,,,,,,
AMSDAMERICAN SHARED HOSPITAL SERVICES,,,,,,,
3.2418.795M—1.12−1.19−1.143.7530.702M5.801M31.17%1.101M3.011M1.56M1.101M,,,,,,,
E,,,,,,,
EVCDENTRAVISION COMMUNICATIONS CORPORATION,,,,,,,
4.63394.238M10.580.930.44−0.055.85472.139M85.149M31.16%346.858K394.301K440.773K405.087K,,,,,,,
V,,,,,,,
"VRMDVROOM, INC.",,,,,,,
43.385.919B—3.75−1.85−2.77—4.589B136.456M31.14%1.754M2.436M2.24M2.781M,,,,,,,
U,,,,,,,
UROYDURANIUM ROYALTY CORP.,,,,,,,
2.92189.921M——−0.01−0.04—79.728M58.942M30.94%298.824K280.687K189.291K168.736K,,,,,,,
"LGIHDLGI HOMES, INC.",,,,,,,
171.684.281B11.511.6715.2112.768.734.137B24.934M30.90%268.517K295.075K285.606K294.072K,,,,,,,
C,,,,,,,
CIXDCOMPX INTERNATIONAL INC.,,,,,,,
20.61255.588M23.642.170.870.836.81159.351M12.401M30.86%8.861K16.62K21.188K18.302K,,,,,,,
C,,,,,,,
CSPRDCASPER SLEEP INC.,,,,,,,
10.19422.277M—0.77−1.89−2.42—296.792M41.44M30.81%532.145K1.574M997.21K956.124K,,,,,,,
V,,,,,,,
VOCDVOC ENERGY TRUST,,,,,,,
4.1270.04M28.4820.130.140.239.7159.248M17M30.79%103.049K111.75K105.081K145.043K,,,,,,,
O,,,,,,,
OCXDONCOCYTE CORPORATION,,,,,,,
4.80431.202M—178.73−0.38−0.46—374.565M89.834M30.79%398.723K431.6K613.89K910.674K,,,,,,,
KTDKT CORPORATION DR,,,,,,,
14.917.192B——1.291.142.74—468.483M30.79%766.319K687.975K803.068K1.017M,,,,,,,
"SPCEDVIRGIN GALACTIC HOLDINGS, INC.",,,,,,,
34.698.35B——−1.50−1.25—6.544B257.963M30.76%45.529M27.972M19.384M19.797M,,,,,,,
"HIBBDHIBBETT SPORTS, INC.",,,,,,,
84.691.373B8.260.8710.614.364.421.325B16.207M30.67%476.7K385.552K382.129K425.318K,,,,,,,
V,,,,,,,
"VIRXDVIRACTA THERAPEUTICS, INC.",,,,,,,
11.39422.486M——−9.18−5.37—22.819M37.093M30.62%279.862K356.953K331.697K703.686K,,,,,,,
B,,,,,,,
BCYCDBICYCLE THERAPEUTICS PLC DR,,,,,,,
29.84692.328M—58.19−2.77−2.69—497.482M23.517M30.59%34.436K63.75K119.547K127.143K,,,,,,,
V,,,,,,,
VGZDVISTA GOLD CORP,,,,,,,
1.18122.396M170.00—0.010.00—102.332M104.149M30.58%350.13K316.647K345.937K490.674K,,,,,,,
AQUADEVOQUA WATER TECHNOLOGIES CORP.,,,,,,,
32.163.856B60.872.820.550.9411.743.931B119.9M30.57%735.12K817.721K992.058K1.42M,,,,,,,
C,,,,,,,
"CTLPDCANTALOUPE, INC.",,,,,,,
12.60896.003M—5.55−0.36−0.66—723.765M71.111M30.57%261.191K251.906K333.799K307.344K,,,,,,,
TGTDTARGET CORPORATION,,,,,,,
230.89114.227B18.891.1912.378.6410.28111.764B494.724M30.54%3.559M3.542M3.366M3.618M,,,,,,,
L,,,,,,,
"LTRXDLANTRONIX, INC.",,,,,,,
5.65163.252M—2.34−0.16−0.42—129.623M28.894M30.48%105.58K195.762K161.507K198.351K,,,,,,,
MEDDMEDIFAST INC,,,,,,,
306.123.6B29.563.3910.668.6815.222.314B11.761M30.47%111.958K132.042K124.641K123.066K,,,,,,,
V,,,,,,,
"VRTDVERTIV HOLDINGS, LLC",,,,,,,
25.659.034B104.361.960.24−1.0713.618.675B352.207M30.47%2.637M2.816M3.234M3.623M,,,,,,,
ALTMDALTUS MIDSTREAM COMPANY,,,,,,,
68.511.113B24.141.783.100.2832.252.069B3.746M30.42%58.782K54.298K44.282K52.452K,,,,,,,
"KLICDKULICKE AND SOFFA INDUSTRIES, INC.",,,,,,,
55.673.455B22.863.602.360.8311.492.708B62.054M30.41%692.039K906.195K858.286K887.725K,,,,,,,
P,,,,,,,
PFXDPHENIXFIN CORPORATION,,,,,,,
42.70115.624M11.37—3.76−24.16—107.634M2.704M30.38%15.265K10.039K8.337K8.828K,,,,,,,
I,,,,,,,
INFNDINFINERA CORPORATION,,,,,,,
10.752.204B—1.53−0.81−1.10312.412.386B204.997M30.30%2.215M2.106M1.94M2.33M,,,,,,,
M,,,,,,,
MCBDMETROPOLITAN BANK HOLDING CORP.,,,,,,,
65.73548.519M12.113.385.484.66—496.232M8.345M30.16%24.524K35.314K44.646K58.86K,,,,,,,
MTDRDMATADOR RESOURCES COMPANY,,,,,,,
32.743.823B—4.04−5.67−5.116.444.671B116.782M30.08%1.317M1.541M1.618M1.762M,,,,,,,
A,,,,,,,
"ASANDASANA, INC.",,,,,,,
38.596.308B—24.81−1.48−1.31—5.627B163.469M30.06%1.725M1.227M1.302M1.27M,,,,,,,
CEPUDCENTRAL PUERTO S.A. DR,,,,,,,
2.77691.097M———0.062.18—151.402M30.05%1.075M500.595K338.472K311.171K,,,,,,,
G,,,,,,,
"GFEDDGUARANTY FEDERAL BANCSHARES, INC.",,,,,,,
24.21106.162M15.232.091.601.57—186.74M4.385M30.02%5.399K7.123K7.913K6.338K,,,,,,,
H,,,,,,,
"HSONDHUDSON GLOBAL, INC.",,,,,,,
18.2549.048M—0.48−0.33−0.43—25.381M2.688M29.99%7.556K6.367K8.136K7.592K,,,,,,,
P,,,,,,,
PVACDPENN VIRGINIA CORPORATION,,,,,,,
23.64361.924M—1.44−32.08−20.468.52789.339M15.31M29.96%377.691K477.354K459.835K490.132K,,,,,,,
M,,,,,,,
"MNRLDBRIGHAM MINERALS, INC.",,,,,,,
20.351.157B—9.69−0.92−1.1110.03865.88M43.811M29.95%484.393K341.845K371.089K438.965K,,,,,,,
G,,,,,,,
GLPDGLOBAL PARTNERS LP GLOBAL PARTNERS LP,,,,,,,
26.95916.18M10.490.112.532.746.322.427B33.996M29.88%125.575K180.141K155.417K154.438K,,,,,,,
LTHMDLIVENT CORPORATION,,,,,,,
20.913.065B—9.70−0.12−0.1388.682.82B146.566M29.88%2.21M2.158M2.324M2.764M,,,,,,,
R,,,,,,,
"RELLDRICHARDSON ELECTRONICS, LTD.",,,,,,,
8.53110.873M—0.67−0.13−0.144.6337.412M12.998M29.83%73.607K108.877K122.171K132.47K,,,,,,,
C,,,,,,,
CPEDCALLON PETROLEUM COMPANY,,,,,,,
47.882.215B—1.84−71.12−63.795.794.555B46.265M29.76%1.875M1.973M2.09M2.538M,,,,,,,
H,,,,,,,
"HQIDHIREQUEST, INC.",,,,,,,
19.85270.16M29.7618.840.610.3918.75236.06M13.61M29.74%21.542K21.562K24.435K25.761K,,,,,,,
AAWWDATLAS AIR WORLDWIDE HOLDINGS,,,,,,,
74.392.158B4.930.6415.7313.503.823.798B29.009M29.69%329.016K427.565K443.031K491.337K,,,,,,,
PPBTDPURPLE BIOTECH LTD. DR,,,,,,,
5.17106.095M—101.50−1.79−1.64——17.511M29.57%1.311M595.537K475.123K761.675K,,,,,,,
J,,,,,,,
"JAXDJ. ALEXANDER'S HOLDINGS, INC.",,,,,,,
11.84178.667M—0.96−0.10−1.53—232.741M15.09M29.54%21.509K29.957K39.624K40.504K,,,,,,,
C,,,,,,,
CLDBDCORTLAND BANCORP,,,,,,,
25.25107.622M10.702.962.311.97—102.898M4.262M29.49%3.638K2.078K2.866K3.011K,,,,,,,
K,,,,,,,
"KMPHDKEMPHARM, INC.",,,,,,,
12.08344.368M—9.30−4.03−3.21—102.87M28.507M29.47%612.971K614.538K1.664M2.951M,,,,,,,
"NTAPDNETAPP, INC.",,,,,,,
81.0318.037B25.073.223.293.2312.3815.14B222.601M29.46%2.173M1.572M1.607M1.854M,,,,,,,
G,,,,,,,
GSLDGLOBAL SHIP LEASE INC NEW,,,,,,,
16.80609.562M—2.012.181.205.641.12B36.284M29.43%310.014K392.231K444.471K466.503K,,,,,,,
"EXPDDEXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",,,,,,,
124.7521.069B24.631.845.114.0714.7717.13B168.886M29.41%1.464M1.369M1.159M1.157M,,,,,,,
VALEDVALE S.A. DR,,,,,,,
22.28114.336B11.122.532.021.015.1289.348B5.131B29.38%33.794M33.917M29.497M30.016M,,,,,,,
I,,,,,,,
IMOSDCHIPMOS TECHNOLOGIES INC. DR,,,,,,,
33.491.186B——2.502.184.03—36.362M29.31%16.363K24.852K27.278K22.308K,,,,,,,
DISHDDISH NETWORK CORPORATION,,,,,,,
45.0323.746B11.641.704.413.028.1635.414B527.345M29.29%2.703M3.294M3.51M4.071M,,,,,,,
F,,,,,,,
"FLWSD1-800-FLOWERS.COM, INC.",,,,,,,
35.322.299B18.861.051.780.8910.141.758B65.085M29.28%692.795K1.019M854.422K950.17K,,,,,,,
NGDDNEW GOLD INC.,,,,,,,
2.121.443B—2.07−0.06−0.126.481.38B680.7M29.27%5.851M5.413M5.53M6.614M,,,,,,,
LRCXDLAM RESEARCH CORPORATION,,,,,,,
649.5892.643B27.677.1424.0115.1015.0384.516B142.619M29.24%1.249M1.408M1.544M1.617M,,,,,,,
M,,,,,,,
MKTYDMECHANICAL TECHNOLOGY INCORPORATED,,,,,,,
7.8796.873M52.487.320.150.2026.57115.97M12.309M29.23%47.142K150.358K141.47K131.564K,,,,,,,
A,,,,,,,
"APLTDAPPLIED THERAPEUTICS, INC.",,,,,,,
21.41558.404M——−4.66−4.28—306.246M26.081M29.21%108.153K95.107K92.422K119.585K,,,,,,,
"WSMDWILLIAMS-SONOMA, INC.",,,,,,,
169.8612.942B15.061.7911.388.616.8613.97B76.193M29.16%1.478M1.208M1.511M1.381M,,,,,,,
DAVADENDAVA PLC DR,,,,,,,
104.165.647B133.7311.300.800.4852.014.799B33.946M29.15%165.123K196.853K166.115K170.964K,,,,,,,
M,,,,,,,
"MRAMDEVERSPIN TECHNOLOGIES, INC.",,,,,,,
6.49125.081M—2.74−0.38−0.45—108.574M19.273M29.03%176.761K131.795K134.213K168.406K,,,,,,,
NCRDNCR CORPORATION,,,,,,,
